Rows	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	
bcd	0.574	0.540	0.516	0.479	0.450	0.423	0.403	0.379	0.358	0.331	0.316	0.293	0.277	0.262	0.246	0.233	0.217	0.211	0.197	0.183	0.172	0.162	0.150	0.142	0.133	0.123	0.114	0.108	0.101	0.0919	0.0841	0.0772	0.0719	0.0645	0.0581	0.0528	0.0473	0.0435	0.0392	0.0329	0.0295	0.0255	0.0226	0.0187	0.0170	0.0146	0.0122	0.00970	0.00750	0.00635	0.00421	0.00334	0.00271	0.000866	0	0	0	0	0	0	
cad	0	0.00345	0.00177	0.00156	0.000104	0.00522	0.0115	0.0176	0.0342	0.0433	0.0536	0.0716	0.0836	0.103	0.126	0.157	0.171	0.215	0.234	0.262	0.283	0.328	0.369	0.387	0.440	0.464	0.509	0.571	0.583	0.591	0.595	0.628	0.656	0.689	0.692	0.728	0.736	0.742	0.771	0.782	0.793	0.801	0.808	0.813	0.817	0.806	0.836	0.850	0.861	0.876	0.863	0.857	0.873	0.871	0.896	0.897	0.911	0.921	0.960	0.980	
gt	0.695	0.746	0.763	0.794	0.830	0.863	0.894	0.918	0.953	0.981	0.986	0.993	1	0.983	0.953	0.877	0.762	0.615	0.451	0.301	0.180	0.105	0.0625	0.0385	0.0226	0.0141	0.00944	0.00627	0.00296	0.00250	0.00122	0	0	0	0	0	0	0	0	0	0	0	0	0.00525	0.0251	0.0572	0.117	0.212	0.322	0.437	0.545	0.639	0.698	0.730	0.750	0.745	0.694	0.625	0.553	0.454	
hb	0.946	0.952	0.951	0.953	0.955	0.953	0.954	0.968	0.970	0.976	0.963	0.959	0.956	0.975	0.971	0.956	0.952	0.956	0.972	0.980	0.988	1	0.987	0.948	0.846	0.710	0.540	0.382	0.255	0.169	0.118	0.0785	0.0552	0.0375	0.0256	0.0175	0.0132	0.00824	0.00576	0.00389	0.00121	0.000354	0	0	0	0	0	0	0	0	0	0	0	0.00278	0.0151	0.0349	0.0656	0.112	0.174	0.240	
kni	0.0243	0.0101	0.0255	0.00740	0.00219	0.000255	0	0.00204	0.000612	0.00234	0.00168	0.00372	0.00219	0.00153	0	0	5.106e-05	0	0	0.000102	0.00449	0.00617	0.00745	0.00556	0.00556	0.00474	0.00347	0.00490	0.0109	0.0181	0.0244	0.0322	0.0441	0.0691	0.110	0.174	0.263	0.360	0.506	0.676	0.807	0.903	0.965	1	0.992	0.956	0.901	0.811	0.685	0.550	0.434	0.340	0.258	0.197	0.152	0.114	0.0872	0.0677	0.0529	0.0430	
Kr	0	0	0	0	0	0.000580	0.00116	0.00248	0.00459	0.00765	0.0105	0.0126	0.0148	0.0176	0.0220	0.0259	0.0334	0.0427	0.0588	0.0833	0.117	0.177	0.252	0.354	0.485	0.636	0.763	0.861	0.920	0.958	0.988	0.996	1	0.996	0.972	0.936	0.887	0.808	0.713	0.585	0.457	0.320	0.221	0.153	0.103	0.0687	0.0488	0.0336	0.0233	0.0170	0.0107	0.00902	0.00691	0.00517	0.00269	0.00195	0.00116	0.000686	0.00142	0.00168	
